 동서울대 컴퓨터정보과 전화번호?,컴퓨터정보과 전화번호는 031-720-2150 입니다.
 2020년 1월 1일 동서울대학교에서 어떤 조직개편이 있었나요?,"2020년 1월 1일에 부속기관 정보지원센터가 신설되었으며, 하부조직으로 학술정보과와 전산정보과가 신설되었습니다. 도서관과 전산정보센터는 직제가 폐지되었습니다."
 동서울대학교가 2020년 11월 1일에 단행한 조직개편의 주요 내용은 무엇인가요?,2020년 11월 1일에 산학취업처의 하부조직으로 산학협력과와 P-TECH 공동훈련센터가 신설되었습니다.
 동서울대학교가 2020년 10월 29일에 고용노동부로부터 어떤 지정을 받았나요?,"2020년 10월 29일에 고용노동부로부터 2021년도 고숙련일학습병행(P-TECH) 공동훈련센터로 지정되었습니다. 학과명은 AI응용소프트웨어과(SW개발_L5)이며, 모집정원은 42명으로 승인되었습니다. 운영형태는 정원외 계약학과입니다."
 동서울대학교가 2020년 10월 8일에 신규 인가된 학사학위 전공심화과정은 무엇인가요?,2020년 10월 8일에 2021학년도 학사학위 전공심화과정으로 1개 학과가 신규 인가되었습니다. 총 20개 학과가 운영됩니다.
 2020년 8월 21일에 동서울대학교에서 수여된 전문학사와 학사학위의 총 수는 얼마인가요?,"2020년 8월 21일 제41회 후기 전문학사 및 학사학위 수여식에서 전문학사 54명, 학사 0명이 수여되었습니다. 누적 전문학사 76,486명, 학사 652명입니다."
 동서울대학교가 2020년 6월 3일에 받은 교육부의 평가는 어떤 등급인가요?,2020년 6월 3일에 동서울대학교는 교육부 전문대학 후진학 선도형 사업(혁신지원사업 Ⅲ유형) 1차년도 평가에서 A등급을 받았습니다.
 2020년 5월 1일에 동서울대학교에서 단행된 조직개편의 내용은 무엇인가요?,"2020년 5월 1일에 혁신지원단 하부조직으로 창의융합교육지원센터가 신설되었고, 산학취업처 하부조직으로 VR교육센터가 폐지되었습니다. 또한, 부설기관인 학교기업 시예가 폐지되었습니다."
 동서울대학교가 2020년에 선정된 대학연계 중소기업 인력양성사업의 연속 선정 횟수는 몇 회인가요?,2020년에는 7년 연속으로 대학연계 중소기업 인력양성사업에 선정되었습니다.
 2020년 3월 11일에 동서울대학교가 선정된 운영기관은 무엇인가요?,2020년 3월 11일에 동서울대학교는 K-Move스쿨 운영기관으로 선정되었습니다.
" 동서울대학교의 제13대 총장은 누구이며, 어떤 날짜에 연임되었나요?","제13대 총장은 유광섭이며, 2020년 3월 1일에 연임되었습니다."
 2020년 동서울대학교가 고용노동부 대학일자리센터 사업에 선정된 연속 횟수는 몇 회인가요?,2020년에는 고용노동부 대학일자리센터 사업에 3년 연속으로 선정되었습니다.
 동서울대학교와 미국 하와이 THE UNIVERSITY OF HAWAI‘I–WEST O‘AHU의 자매결연이 체결된 날짜는 언제인가요?,2020년 1월 8일에 동서울대학교와 미국 하와이 THE UNIVERSITY OF HAWAI‘I–WEST O‘AHU가 자매결연을 체결했습니다.
 2019년 2주기 전문대학 기관평가인증 심사 결과는 무엇인가요?,"2019년 2주기 전문대학 기관평가인증 심사 결과는 조건부 인증이며, 인증 유효기간은 2020년 1월 1일부터 2020년 12월 31일까지입니다."
 2020년 1월 1일의 조직개편에서 기획처와 창업지원단의 하부조직은 어떻게 되었나요?,"2020년 1월 1일에 기획처 하부조직으로 교육생산성센터가 폐지되었고, 창업지원단 하부조직으로 창업지원센터가 폐지되었습니다."
 동서울대학교의 주소는 무엇인가요?,동서울대학교의 주소는 경기도 성남시 수정구 복정로 76입니다.
 동서울대학교의 입학상담실 연락처는 어떻게 되나요?,"입학상담실의 연락처는 031-720-2900~2이며, FAX는 031-720-2903입니다."
 동서울대학교의 취업상담실 연락처는 무엇인가요?,"취업상담실의 연락처는 031-720-2017이며, FAX는 031-721-1999입니다."
 지하철을 이용해 동서울대학교에 가려면 어떤 노선을 타야 하나요?,지하철 분당선 또는 8호선을 이용해 복정(동서울대학교)역에서 하차해야 합니다.
 복정(동서울대학교)역에서 동서울대학교까지의 거리는 얼마나 되나요?,복정(동서울대학교)역에서 동서울대학교까지는 성남분당 방향으로 900m 거리입니다 (버스 2정거장).
 동서울대학교에 가는 버스의 일반 노선 번호를 알려주세요.,"동서울대학교로 가는 일반 버스 노선 번호는 100, 70, 30, 32, 119, 357입니다."
 동서울대학교로 가는 지선 버스 노선 번호는 무엇인가요?,동서울대학교로 가는 지선 버스 노선 번호는 4419입니다.
 동서울대학교로 가는 간선 버스 노선 번호는 어떤 것이 있나요?,"동서울대학교로 가는 간선 버스 노선 번호는 302, 303, 452입니다."
 동서울대학교로 가는 광역 버스 노선 번호는 무엇인가요?,동서울대학교로 가는 광역 버스 노선 번호는 9403입니다.
 동서울대학교에서 주차장 이용 시 어떤 시스템이 도입되었나요?,2019년 9월부터 무인정산시스템이 도입되었습니다.
 지상주차장은 누구에게 이용이 허용되나요?,"지상주차장은 대학업무용, 관공서, 공사 및 납품차량 등 대학에서 승인한 차량만 이용할 수 있으며, 택시 진입은 금지되어 있습니다."
 지하주차장은 누구에게 이용이 허용되나요?,"지하주차장은 전 교직원 및 대학 방문차량(재학생 및 시간강사, 입주업체 포함)에게 이용이 허용됩니다."
 정기주차권의 1개월 및 6개월 이용금액은 얼마인가요?,"교직원 및 재학생의 정기주차권은 1개월 15,000원, 6개월 60,000원입니다. 입주업체는 1개월 15,000원이며, 6개월 정기권은 제공되지 않습니다. 복정동 주민의 경우 6개월 정기권만 이용 가능하며, 금액은 60,000원입니다."
 수시차량의 주차 요금은 어떻게 되나요?,"수시차량의 경우 최초 30분은 무료이며, 이후 최초 30분은 1,500원, 초과 10분당 500원의 요금이 부과됩니다."
 교직원 정기주차권 신청 기간은 언제인가요?,교직원 정기주차권 신청 기간은 2020년 2월 24일(월)부터 3월 6일(금)까지입니다.
 정기주차권을 1개월 단위로 신청하려면 어떻게 해야 하나요?,1개월 단위의 정기주차권 신청은 주차장 관리사무소에서 직접 신청해야 합니다.
 장애인 및 국가유공자는 정기주차권 요금에서 어떤 혜택이 있나요?,장애인 및 국가유공자는 정기주차권 요금이 무료입니다.
 경차는 정기주차권 요금에서 어떤 할인 혜택이 있나요?,경차는 정기주차권 요금에서 50% 할인 혜택이 제공됩니다.
 재학생의 정기주차권 신청 기간과 방법은 무엇인가요?,"재학생의 정기주차권 신청 기간은 학기 중이며, 신청 방법은 학생증(재학증명서 가능), 면허증, 차량등록증, 보험증을 제시하고 주차장 근무 시간인 09:00 ~ 18:00 사이에 신청 가능합니다."
 정기주차권 신청 시 확인해야 할 서류는 무엇인가요?,"정기주차권 신청 시 차량등록증, 면허증, 주민등록등본, 재직증명서가 필요하며, 모든 서류는 현장에서 확인만 이루어집니다."
 정기주차권 사용 중 차량 번호가 변경되면 어떻게 해야 하나요?,"차량 번호가 변경된 경우, 차량등록증을 지참하고 주차관리실에 변경 신청을 해야 합니다."
 6개월 정기주차권을 이용 중 환불을 요청하면 어떻게 처리되나요?,"6개월 정기주차권 환불 요청 시 사용월별 15,000원씩 차감되며, 월말 기준으로 적용됩니다. 예를 들어, 2020년 5월 10일 환불 요청 시 3월, 4월, 5월 기준으로 45,000원이 차감되어 15,000원이 환불됩니다."
 이륜자동차(오토바이)는 동서울대학교 주차장에서 어떻게 처리되나요?,"이륜자동차(오토바이)는 주차신청 및 교내 진입, 지하주차장 이용이 불가하며, 정문 학산탑 옆 이륜차 전용 주차장을 이용해야 합니다."
 주차장 관련 기타 문의는 어디로 해야 하나요?,주차장 관련 기타 자세한 사항은 관리과(☏ 031-720-2938)로 문의하면 됩니다.
 동서울대학교의 전동킥보드 대학패스는 무엇인가요?,"동서울대학교의 전동킥보드 대학패스는 월 9,900원으로 100분간 전동킥보드를 이용할 수 있는 패스입니다. 제공 시간 소진 후에도 잠금해제 비용은 무제한 무료입니다."
 대학패스의 제공 시간은 어떻게 되나요?,"대학패스는 매월 100분을 제공하며, 제공 시간이 소진된 후에는 잠금해제 비용이 무제한 무료로 제공됩니다."
 동서울대학교 대학패스를 구매할 수 있는 대상은 누구인가요?,동서울대학교에 재학 중인 학생과 교직원 모두가 대학패스를 구매할 수 있습니다.
 대학패스 신청 방법은 무엇인가요?,"하단의 버튼을 클릭하여 설문지를 작성하면, 패스 구매 전용 페이지로 접속할 수 있는 쿠폰코드와 사용 방법을 문자로 받아볼 수 있습니다."
 패스의 이용 일자는 어떻게 되나요?,"구독형 패스의 이용 일자는 구독한 날로부터 30일이며, 다음 결제 예정일에 결제가 성공하면 자동으로 구독이 갱신됩니다."
 패스 이용 중 100분을 초과하면 어떻게 되나요?,"패스에서 제공하는 100분을 초과할 경우, 초과 시간에 대해서는 일반 요금제가 적용됩니다."
 패스의 대여는 최대 몇 분까지 적용되나요?,"킥보드는 대여 1회당 최대 30분까지 패스가 적용됩니다. 30분을 초과할 경우, 초과 시간에 대해서는 일반 요금제가 적용됩니다."
 패스는 어떤 경우에 중복 구매가 불가능한가요?,"패스 상품은 중복 구매가 불가능하며, 사용 중인 패스 상품의 사용 기간이 만료되거나 환불되어야 다시 구매할 수 있습니다."
 반납 추가 지역에 반납할 경우 추가 요금은 어떻게 되나요?,"반납 추가 지역에 반납할 경우, 반납 추가 요금이 별도로 부과됩니다."
 패스는 전기자전거에도 적용되나요?,패스는 전기자전거 이용 시에는 적용되지 않습니다.
 패스 이용 시 쿠폰 및 제휴 할인은 어떻게 적용되나요?,"패스 이용 중 쿠폰 및 제휴 할인은 추가 결제 금액에 한하여 적용되며, 쿠폰 상세 정보 및 제휴 조건에 따라 적용되지 않을 수 있습니다."
 패스 구매 시 어떤 지역에서 킥보드를 이용할 수 있나요?,패스 구매 시 전국 씽씽 서비스 지역에서 킥보드를 이용할 수 있습니다.
 패스는 언제든지 사용 가능한가요?,"패스는 평일, 주말, 심야 시간대 관계없이 언제든지 사용 가능합니다."
 산하협력단 산하의 센터들은 어떤 것들이 있나요?,"특화사업지원센터, 공유협업지원센터, 공동장비운영센터, 산학공동기술개발센터가 있습니다."
 혁신지원단 산하의 센터들은 어떤 것들이 있나요?,"창의융합교육지원센터, 메타버스교육센터가 있습니다."
 창업지원단 산하의 센터들은 어떤 것들이 있나요?,"창업보육센터, 창업교육센터가 있습니다."
 산학취업처에 소속되어 있는 부서는 무엇인가요?,"산학협력과, DU일자리센터, 현장실습지원센터가 있습니다."
 교무처에 소속되어 있는 부서는 무엇인가요?,"학사운영과, 교육혁신지원센터, 교양교육센터, 학사학위지원센터, 교수학습지원센터, 원격교육지원센터가 있습니다."
 입학홍보처에 소속되어 있는 부서는 무엇인가요?,"입학홍보과, 미디어센터가 있습니다."
 학생처에 소속되어 있는 부서는 무엇인가요?,"학생서비스과, 학생생활상담센터, 장애학생지원센터, 학산관, 인권센터가 있습니다."
 기획처에 소속되어 있는 부서는 무엇인가요?,"기획예산과, 국제협력센터가 있습니다."
 사무국에 소속되어 있는 부서는 무엇인가요?,"행정지원과, 경리과, 관리과가 있습니다."
 부속기관에 소속되어 있는 부서는 무엇인가요?,"정보지원센터, 예비군대대, 연구지원센터가 있습니다."
 부설기관에 소속되어 있는 부서는 무엇인가요?,"평생교육원, 어학교육원이 있습니다."
 혁신지원단의 위치와 연락처는 무엇인가요?,"혁신지원단은 6호관 1층에 위치하며, 전화는 031-720-2933입니다."
 혁신지원단의 운영 목표는 무엇인가요?,혁신지원단의 운영 목표는 대학의 중장기 발전계획에 따른 혁신지원사업의 성공과 효율적인 업무 추진입니다.
 혁신지원단의 주요 업무는 무엇인가요?,"주요 업무는 혁신지원사업 운영계획 수립, 사업 총괄, 효율적 추진 지원 및 조정, 실적 및 성과지표 관리 감독, 예산배분 및 집행관리, 기타 관련 업무입니다."
 창의융합교육지원센터의 위치와 연락처는 무엇인가요?,"창의융합교육지원센터는 1호관 1층에 위치하며, 전화는 031-720-2914입니다."
 창의융합교육지원센터의 주요 업무는 무엇인가요?,"주요 업무는 융복합 분야 교육 지원 계획 수립, 창의메이커스페이스 운영, 융복합 트랙 및 학과 교육 지원, 4차 산업혁명기술 기반 융복합 비교과 개발 및 운영, 콘텐츠 연구 및 교육 지원, 교육 공간 활용 및 산업체 대상 교육 지원, 기타 관련 업무입니다."
 메타버스교육센터의 위치와 연락처는 무엇인가요?,"메타버스교육센터는 도서관 2층에 위치하며, 전화는 031-720-2984입니다."
 메타버스교육센터의 주요 업무는 무엇인가요?,"주요 업무는 메타버스 XR 기반 교육 콘텐츠 개발 및 지원, 관련 기술 연구 및 연구회 운영, 협의체 구축 및 콘텐츠 공동개발, 콘텐츠 제작 관련 재정지원사업 운영, 기타 관련 업무입니다."
 LINC3.0사업단의 위치와 연락처는 무엇인가요?,LINC3.0사업단은 본관 1층에 위치하고 있습니다. (연락처는 제공되지 않았습니다.)
 LINC3.0사업단의 운영 목표는 무엇인가요?,"LINC3.0사업단의 운영 목표는 사회맞춤형 산학협력 선도전문대학(LINC+) 육성사업(사회맞춤형학과 중점형)을 합리적이고 효율적으로 지원하여, 사업의 성공을 통해 청년 취업에 기여하는 것입니다."
 LINC3.0사업단의 주요 업무는 무엇인가요?,주요 업무는 산학협력 선도전문대학 육성사업(LINC+) 사회맞춤형학과 중점형 사업에 관한 업무와 기타 관련 업무입니다.
 창업지원단의 위치와 연락처는 무엇인가요?,"창업지원단은 5호관 4층에 위치하며, 전화는 031-720-2272입니다."
 창업지원단의 주요 업무는 무엇인가요?,"주요 업무는 입주업체 모집, 평가 및 계약, 보육실 운영 관리, 창업보육센터 운영평가, 운영지원금 신청/집행/정산, 예비창업자 사업화 프로그램 운영, 기타 관련 업무입니다."
 창업보육센터의 위치와 연락처는 무엇인가요?,"창업보육센터는 5호관 4층에 위치하며, 전화는 031-720-2272입니다."
 창업보육센터의 주요 업무는 무엇인가요?,"주요 업무는 학생 창업교육, 창업동아리 운영 및 지원, 학생 창업관련 워크숍 및 국내외 연수, 창업캠프, 창업경진대회 및 창업교육 프로그램 운영, 창업친화적 학사제도 운영, 창업 멘토링 시스템 및 멘토단 운영, 교원창업 및 교수 업적평가 관리, 기타 관련 업무입니다."
 창업교육센터의 위치와 연락처는 무엇인가요?,"창업교육센터는 5호관 4층에 위치하며, 전화는 031-720-2271입니다."
 창업교육센터의 주요 업무는 무엇인가요?,"주요 업무는 학생 창업교육, 창업동아리 운영 및 지원, 학생 창업관련 워크숍 및 국내외 연수, 창업캠프, 창업경진대회 및 창업교육 프로그램 운영, 창업친화적 학사제도 운영, 창업 멘토링 시스템 및 멘토단 운영, 교원창업 및 교수 업적평가 관리, 기타 관련 업무입니다."
 산학협력단의 위치와 연락처는 무엇인가요?,"산학협력단은 6호관 1층에 위치하며, 전화는 031-720-2907입니다."
 산학협력단의 주요 업무는 무엇인가요?,"주요 업무는 산학협력 활동의 기획, 총괄, 조정, 재정지원사업 신청 및 집행, 자금운영 및 회계, 시설 및 재산 관리, 특허 및 지식재산권 관리, 산업체와의 교류, 지역사회 및 산업체와의 협업, 중소기업 가치 창출 지원, 계약학과 운영, 산학협력 중장기 발전계획 수립 등입니다."
 특화산업지원센터의 위치와 연락처는 무엇인가요?,"특화산업지원센터는 6호관 2층에 위치하며, 전화는 031-724-2362입니다."
 특화산업지원센터의 주요 업무는 무엇인가요?,"주요 업무는 기업의 애로사항 상담 및 One-Stop 신속대응, 시제품 제작, 기업 지원을 위한 조정 지원, 기업 인력 상담 및 설계, 기업지원 시설 구축 및 운영, 자원 및 네트워크 연계, 기타 기업지원에 필요하다고 인정되는 사항입니다."
 공유협업지원센터의 위치와 연락처는 무엇인가요?,"공유협업지원센터는 6호관 2층에 위치하며, 전화는 031-720-2293입니다."
 공유협업지원센터의 주요 업무는 무엇인가요?,"주요 업무는 산학협력 자원 개방, 공유 및 협업, 산학협력 프로그램 개발 및 운영, 기업 맞춤형 재직자 교육 과정 개발 및 운영, 산학협력 자원 및 네트워크 연계, 가족회사 및 DU BEST 200 운영, 산학협력 포럼 행사 운영, 데이터 집적화 및 연계망 구축, 산업교육센터와 연계 등입니다."
 공동장비운영센터의 위치와 연락처는 무엇인가요?,"공동장비운영센터는 6호관 2층에 위치하며, 전화는 031-724-2362입니다."
 공동장비운영센터의 주요 업무는 무엇인가요?,"주요 업무는 공동장비 활용, 지원, 관리, 공동장비 관련 교육 및 세미나 개최 등입니다."
 산학공동기술개발센터의 위치와 연락처는 무엇인가요?,"산학공동기술개발센터는 6호관 1층에 위치하며, 전화는 031-720-2907입니다."
 산학공동기술개발센터의 주요 업무는 무엇인가요?,"주요 업무는 산학연관 협력사업 공모과제 홍보 및 신청, 외부 기관과의 협약 체결, 외부사업 연구비 집행 및 운영, 수탁 과제 연구, 간접비 관리, 연구 결과 보고, 기업체 발굴 및 공동기술개발과제 수행, 기술이전 및 사업화 추진, 산업체 자문 운영 등입니다."
 일학습병행공동훈련센터의 위치와 연락처는 무엇인가요?,"일학습병행공동훈련센터는 6호관 2층에 위치하며, 전화는 031-720-2219입니다."
 일학습병행공동훈련센터의 주요 목표는 무엇인가요?,목표는 일학습병행 기반으로 전문 AI 응용 소프트웨어 개발 인력을 양성하는 것입니다.
 일학습병행공동훈련센터의 진출 분야는 무엇인가요?,"진출 분야는 인공지능 프로그래머, 지능형 소프트웨어 개발자, 의료 AI 시스템 프로그래머, 로봇공학 기술자, 모바일게임 프로그래머, 시스템 소프트웨어 개발자, 빅데이터 처리 엔지니어, AI 투자분석가(애널리스트) 등입니다."
 일학습병행공동훈련센터에서 취득할 수 있는 자격증은 무엇인가요?,"자격증으로는 AI 분석전문가, AI 개발전문가, AIoT 융합지식사, AI 채용컨설턴트, AI 자율주행운전지도사, 인공지능 산업컨설턴트가 있습니다."
 신산업특화사업단의 위치와 연락처는 무엇인가요?,"신산업특화사업단은 13호관 3층에 위치하며, 전화는 031-724-2370~3입니다."
 신산업특화사업단의 운영 목표는 무엇인가요?,신산업분야 특화 선도전문대학 지원사업을 운영 및 지원하여 모빌리티 분야 창의융합 인재 양성에 기여하는 것입니다.
 신산업특화사업단의 주요 업무는 무엇인가요?,"주요 업무는 신산업분야 특화 선도전문대학 지원사업 운영, 지원, 조정 등 사업 총괄, 미래자동차 분야 교육과정 개발 및 운영·관리, 기타 사업 관련 업무 일체입니다."
 산학취업처의 위치와 연락처는 무엇인가요?,"산학취업처는 도서관 1층에 위치하며, 전화는 031-720-2219/2229/20입니다."
 산학취업처의 주요 업무는 무엇인가요?,"산학취업처는 산학협동 체계 확립, 인성 및 취업진로지도 혁신화, 취업교육 질적 내실화 등을 통해 학생 취업역량을 강화하고, 산․학간 협력사업 활성화를 통해 취업률을 향상시킵니다."
 DU일자리센터의 위치와 연락처는 무엇인가요?,"DU일자리센터는 도서관 1층에 위치하며, 전화는 031-720-2203/2236/20입니다."
 현장실습지원센터의 위치와 연락처는 무엇인가요?,"현장실습지원센터는 6호관 2층에 위치하며, 전화는 031-720-2204입니다."
 DU일자리센터의 주요 업무는 무엇인가요? ,"DU일자리센터는 산학연계 대외협력 및 홍보, 취업 관련 통계 작성 및 분석, 취업전산망 관리, 자격증 취득 및 편입 관련 업무, 취업 및 진로 지원 프로그램 운영, 공직 및 장애인 취업 운영, 정부지원사업 운영, 정보 수집, 구인업체 발굴 및 홍보, 취업동아리 운영, 해외취업 지원 등 다양한 취업 지원 업무를 수행합니다."
 현장실습지원센터의 주요 업무는 무엇인가요?,"현장실습지원센터는 현장실습 지원 및 관리, 국내외 인턴십 지원, 운영 기본계획 수립, 기업체 수요조사 및 발굴, 현장실습 운영, 순회지도 출장 지원, 보험 및 학생지원비 집행, 운영위원회 운영, 학기제 운영 등을 담당합니다."
 교무처의 주요 목표는 무엇인가요?,"수요자 중심의 교육과정과 공정한 학사관리로 급변하는 교육환경에 대처할 수 있는 학사행정서비스를 제공하고, 교원의 국내외 연수를 통한 능력계발로 실무능력과 인성을 겸비한 창의적 인재를 양성하는 것입니다."
 학사운영과의 위치와 연락처는 무엇인가요?,"학사운영과의 위치는 본관 1층이며, 연락처는 031-720-2012, 2013, 2014, 2018입니다."
 교육혁신지원센터의 위치와 연락처는 무엇인가요?,"교육혁신지원센터의 위치는 본관 1층이며, 연락처는 031-720-2177입니다."
 교양교육센터의 주요 업무 중 하나는 무엇인가요?,교양교육센터의 주요 업무 중 하나는 역량기반 교양 교육과정 개발 및 운영 지원입니다.
 학사학위지원센터의 연락처는 무엇인가요?,학사학위지원센터의 연락처는 031-720-2237입니다.
 교수학습지원센터의 위치는 어디인가요?,교수학습지원센터의 위치는 도서관 5층입니다.
 원격교육지원센터에서 제공하는 디지털 상호작용 도구는 무엇인가요?,원격교육지원센터에서 제공하는 디지털 상호작용 도구는 에듀테크 관련 도구입니다.
 교무처에서 성적관리에 관련된 업무는 무엇인가요?,"교무처의 성적관리에 관련된 업무에는 성적관리, 성적 이의신청 처리, 실기교사자격증 발급 및 관리 등이 포함됩니다."
 학사운영과에서 처리하는 학적변동 업무에는 어떤 것이 있나요?,"학사운영과에서 처리하는 학적변동 업무에는 편입학, 제적, 휴학, 복학, 재입학, 자퇴, 전과 등이 포함됩니다."
 교육혁신지원센터에서 관리하는 체계의 이름은 무엇인가요?,교육혁신지원센터에서 관리하는 체계의 이름은 “DU-SUC²ESS” 체계입니다.
 입학홍보과의 위치와 연락처는 무엇인가요?,"입학홍보과의 위치는 본관 1층이며, 연락처는 031-720-2900~2입니다."
 입학홍보과의 주요 업무는 무엇인가요?,"입학홍보과의 주요 업무는 신입생 모집계획 수립 및 관리, 산업체위탁교육생 모집 및 홍보, 입시결과 분석 및 입시전략 수립, 입시홍보 및 상담, 입시홍보물 제작, 입시관련 설명회 행사 진행, 본교의 종합적인 홍보 계획 수립 등입니다."
 미디어센터의 위치와 연락처는 무엇인가요?,"미디어센터의 위치는 도서관 5층이며, 연락처는 031-720-2266입니다."
 미디어센터의 운영 목표는 무엇인가요?,"미디어센터의 운영 목표는 신속하고 정확한 정보 제공, 교양과 문화가 넘치는 대학 환경 조성, 동질감과 연대감 형성을 위한 정보 매체 서비스 개선입니다."
 미디어센터의 주요 업무는 무엇인가요?,"미디어센터의 주요 업무는 교내 음성방송 및 유튜브 촬영, 학교행사 촬영 지원, 학보 발간, 재학생들의 영상 및 음향편집 장비 제공, 교내 공용 방송미디어 시설 기술지원 등입니다."
 학생처의 위치와 연락처는 무엇인가요?,"학생처의 위치는 7호관 1층이며, 연락처는 031-720-2016입니다."
 학생처의 주요 목표는 무엇인가요?,"학생처의 주요 목표는 학생들의 자율 능력을 향상시키고 안정된 면학 분위기를 정착시키며, 건전한 학내 분위기 유지를 위한 제반 업무를 수행하는 것입니다."
 학생서비스과의 위치와 연락처는 무엇인가요?,"학생서비스과의 위치는 7호관 1층이며, 연락처는 031-720-2015/2016입니다."
 학생서비스과의 주요 업무는 무엇인가요?,"학생서비스과의 주요 업무는 학생 활동 지도 및 지원, 학생지도위원회 운영, 학생 상벌 관리, 학술 및 봉사활동 지원, 학생단체 및 동아리 지원, 장학 업무 등입니다."
 학생생활상담센터의 위치와 연락처는 무엇인가요?,"학생생활상담센터의 위치는 도서관 5층이며, 연락처는 031-720-2205입니다."
 학생생활상담센터의 주요 업무는 무엇인가요?,"학생생활상담센터의 주요 업무는 대학생활 적응검사, 상담시스템 운영, 학생 개인 및 집단 상담지도, 심리검사 및 진로상담, 성희롱·성폭력 상담 등입니다."
 장애학생지원센터의 위치와 연락처는 무엇인가요?,"장애학생지원센터의 위치는 7호관 1층이며, 연락처는 031-720-2016입니다."
 장애학생지원센터의 주요 업무는 무엇인가요?,"장애학생지원센터의 주요 업무는 장애학생 지원, 교육복지 실태조사, 장애학생특별지원위원회 운영 등입니다."
 학산관의 위치와 연락처는 무엇인가요?,"학산관의 위치는 국제교류센터 7-10층이며, 연락처는 031-720-2032입니다."
 인권센터의 위치와 연락처는 무엇인가요?,"인권센터의 위치는 도서관 5층이며, 연락처는 031-720-2141입니다."
 기획처의 위치와 연락처는 무엇인가요?,"기획처의 위치는 본관 1층이며, 연락처는 031-720-2986입니다."
 기획처의 주요 목표는 무엇인가요?,"기획처의 주요 목표는 중장기 발전 계획 및 대학 특성화계획 수립과 추진, 예산의 합리적 편성, 국제적 역량 강화 등을 통해 대학의 경쟁력을 강화하는 것입니다."
 기획예산과의 위치와 연락처는 무엇인가요?,"기획예산과의 위치는 본관 1층이며, 연락처는 031-720-2986~2989입니다."
 기획예산과의 주요 업무는 무엇인가요?,"기획예산과의 주요 업무는 중장기 발전계획 수립, 교육목표 관리 및 성과평가, 조직개선 및 직무분석, 감사, 대학 자체평가, 예산 편성 및 통제, 등록금 책정 등입니다."
 국제협력센터의 위치와 연락처는 무엇인가요?,"국제협력센터의 위치는 본관 1층이며, 연락처는 031-720-2985입니다."
 국제협력센터의 주요 업무는 무엇인가요?,"국제협력센터의 주요 업무는 해외 취업 및 연수 프로그램 운영, 유학생 유치 및 관리, 글로벌 현장학습, 외국 대학과의 교류, 해외 업체 및 기관과의 협약 등입니다."
 행정지원과의 위치와 연락처는 무엇인가요?,"행정지원과의 위치는 본관 1층이며, 연락처는 031-720-2019/2021/2020입니다."
 행정지원과의 주요 업무는 무엇인가요?,"행정지원과의 주요 업무는 교직원 후생복지, 문서 관리, 직인 관수, 의식행사 관리, 보안 및 비상 업무, 연금 및 건강보험 업무, 인사 관련 업무 등입니다."
 경리과의 위치와 연락처는 무엇인가요?,"경리과의 위치는 본관 1층이며, 연락처는 031-720-2026입니다."
 경리과의 주요 업무는 무엇인가요?,"경리과의 주요 업무는 출납, 회계장부 정리, 자금 관리, 결산, 교직원 급여, 학생 등록금 수납, 세금 납부, 강사료 지급, 세입 및 세출 관리 등입니다."
 관리과의 위치와 연락처는 무엇인가요?,"관리과의 위치는 본관 1층이며, 연락처는 031-720-2024/2027/2127입니다."
 관리과의 주요 업무는 무엇인가요?,"관리과의 주요 업무는 시설 관리, 안전 관리, 조경 및 수목 관리, 전화 및 통신 관리, 차량 운행 관리, 물품 관리, 소방 관리, 공해 및 위험물 관리 등입니다."
 정보지원센터의 위치와 연락처는 무엇인가요?,"정보지원센터는 도서관 2, 3, 4층에 위치하며, 연락처는 031-720-2191, 031-720-2192, 031-720-2193입니다."
 정보지원센터의 운영목표는 무엇인가요?,"도서관 이용자에게 필요한 자료를 수집, 정리, 보존하여 효율적인 서비스를 제공하고, 학생 중심의 맞춤형 학습환경을 조성하며 학습 활동을 지원하는 것입니다."
 정보지원센터의 주요 업무는 무엇인가요?,"도서구입 및 정리, 도서관 DB 구축 및 관리, 도서대출 및 반납, 전자자료 구입 및 관리, 서가정리 및 도서 배가, 정기간행물 구독 및 관리, 전자정보실 및 북카페 관리, 창의열람실 및 커뮤니티룸 관리 등입니다."
 전산정보과의 위치와 연락처는 무엇인가요?,"전산정보과는 도서관 5층에 위치하며, 연락처는 031-720-2198, 031-720-2221, 031-720-2222입니다."
 전산정보과의 운영목표는 무엇인가요?,"급변하는 교육환경에 맞춰 대학 정보화 체제를 마련하고, 정보시스템 인프라의 안정화 및 고도화를 통해 정보시스템 품질을 개선하며, 차세대 종합정보시스템 하드웨어 구축을 목표로 합니다."
 전산정보과의 주요 업무는 무엇인가요?,"대학 정보화 기획 및 실행, 통합정보시스템 구축 및 운영, 업무용 솔루션 도입 및 운영, 홈페이지 구축 및 운영, 정보보안 및 개인정보보호, 서버 및 보안장비 관리, 네트워크 및 무선랜 운영 및 유지관리 등입니다."
 예비군대대의 위치와 연락처는 무엇인가요?,"예비군대대는 본관 1층에 위치하며, 연락처는 031-720-2207입니다."
 예비군대대의 운영목표는 무엇인가요?,"학생 중 예비군 편성대상자를 관리하고, 향토예비군설치법에 따라 학생예비군의 훈련을 적용하여 혜택을 부여하며 예비전력 자원의 효율성을 극대화하는 것입니다."
